Description,Price,Rating,Url
"Factor Notes Notebook: 90 GSM, B6, Ruled, 112 Pages Journal Diary (Me)",₹95,4.2 out of 5 stars,https://www.amazon.com/Factor-Notes-Notebook-Ruled-Journal/dp/B09G64HMPZ/ref=sr_1_27?keywords=notebook&qid=1698814058&sr=8-27
"Papboo A5 Handy, Easy to Carry Unruled, Plain Cute Floral Set of 4 for doodling, Writing, Notes, Notebooks -Matte Finished - Journal Diary, Gift.(60 * 4=240 80 GSM Pages)",₹248,4.4 out of 5 stars,https://www.amazon.com/Unruled-doodling-Writing-Notebooks-Finished/dp/B0B5HDFD9H/ref=sr_1_28?keywords=notebook&qid=1698814058&sr=8-28
FACTOR NOTES 100 GSM A5 Notebook: Plain | 144 Pages (Violet Bloom),₹182,4.4 out of 5 stars,https://www.amazon.com/FACTOR-NOTES-100-GSM-Notebook/dp/B0BGYVC3DT/ref=sr_1_29?keywords=notebook&qid=1698814058&sr=8-29
FACTOR NOTES A6 Notebook: Ruled | 100 GSM | 144 Pages (Back to Moon),₹95,4.3 out of 5 stars,https://www.amazon.com/FACTOR-NOTES-A6-Notebook-Ruled/dp/B0BTHY9Q22/ref=sr_1_30?keywords=notebook&qid=1698814058&sr=8-30
"Classmate Premium 6 Subject Spiral Notebook - 203mm x 267mm, Soft Cover, 300 Pages, Unruled",₹157,4.4 out of 5 stars,https://www.amazon.com/Classmate-Premium-Subject-Spiral-Notebook/dp/B00LZLQ0TS/ref=sr_1_31?keywords=notebook&qid=1698814058&sr=8-31
"Classmate Long Notebook - 140 Pages, Single Line, 297Mm X 210Mm (Pack Of 12)",₹663,4.4 out of 5 stars,https://www.amazon.com/Classmate-Long-Notebook-Cover-Single/dp/B00J4YG0PC/ref=sr_1_32?keywords=notebook&qid=1698814058&sr=8-32
"Classmate Origami Notebooks - Single Line, 168 Pages, 240 mm x 180 mm - Pack Of 12",₹601.60,4.2 out of 5 stars,https://www.amazon.com/Classmate-Origami-Notebooks-Single-Pages/dp/B09ZPHK5K7/ref=sr_1_33?keywords=notebook&qid=1698814058&sr=8-33
FACTOR NOTES A5 Notebook: Ruled | 90 GSM | 160 Pages (Little Things),₹182,4.5 out of 5 stars,https://www.amazon.com/Factor-Notes-A5-Notebook-Little/dp/B0B4WND6P1/ref=sr_1_34?keywords=notebook&qid=1698814058&sr=8-34
"Classmate Pulse Spiral Notebook - 240 mm x 180 mm, Soft Cover, Ruled, 200 Pages",₹74,4.2 out of 5 stars,https://www.amazon.com/Classmate-pluss/dp/B01N5P1W5G/ref=sr_1_35?keywords=notebook&qid=1698814058&sr=8-35
Notebook,₹99,4.3 out of 5 stars,https://www.amazon.com/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.06b5206f-5678-0788-daca-a6ca502150b0%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B07RZ2STDQ&ref=sr_1_36&keywords=notebook&qid=1698814058&sr=8-36
"Edulearnable College Spiral Notebook,A5 3 Pcs pack,Size 5.5x8.2 inches Blank Travel Writing Notebooks Journal,Memo Notepad Sketchbook,Students Office Business Subject Diary Book Journal-Kraft Cover",₹379,4.2 out of 5 stars,https://www.amazon.com/Notebook-Notebooks-Sketchbook-Students-Journal-Kraft/dp/B08WPTFZWB/ref=sr_1_37?keywords=notebook&qid=1698814058&sr=8-37
Navneet Youva | Soft Bound | Long Note Book | Single Line|172 Pages | Pack of 6,₹282,4.1 out of 5 stars,https://www.amazon.com/Navneet-Soft-Bound-Long-Note/dp/B07GWSP98R/ref=sr_1_38?keywords=notebook&qid=1698814058&sr=8-38
Navneet Youva | Long Book | Soft Bound/Soft Cover Notebook For Students | A4 Size - 21 Cm X 29.7 Cm| Single Line| 140 Pages | Pack Of 12,₹634,4.5 out of 5 stars,https://www.amazon.com/Navneet-Youva-Bound-Single-Pages/dp/B082XFRK7Q/ref=sr_1_39?keywords=notebook&qid=1698814058&sr=8-39
The Notebook,₹119,4.7 out of 5 stars,https://www.amazon.com/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.cab3634c-48a6-9984-a5de-2da25f7fd97e%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0B5YR79TK&ref=sr_1_40&keywords=notebook&qid=1698814058&sr=8-40
Faber-Castell STUDENT NOTEBOOK ULTRA LONG 92 PAGES SINGLE LINE,₹44,,https://www.amazon.com/Faber-Castell-STUDENT-NOTEBOOK-ULTRA-SINGLE/dp/B0CB7SKR1Z/ref=sr_1_41?keywords=notebook&qid=1698814058&sr=8-41
"Paperkraft - 148 X 210 mm, 192 Pages, Single line",₹116,4.3 out of 5 stars,https://www.amazon.com/Paperkraft-Signature-Executive-Notebook-Single/dp/B00LZLR0QA/ref=sr_1_42?keywords=notebook&qid=1698814058&sr=8-42
Navneet Youva | Spiral Long Book For Students And Executives | Spiral Bound With Safety Lock | A4 Size - 21 X 29.7 Cm | Unruled/No Lines | 300 Pages | Pack Of 1,₹123,4.2 out of 5 stars,https://www.amazon.com/Navneet-Youva-Spiral-21x29-7-Unruled/dp/B086WXK4N5/ref=sr_1_43?keywords=notebook&qid=1698814058&sr=8-43
